;;AD1;AD1;AD1;AD2;AD2;AD2;TOOLBOX;TOOLBOX;TOOLBOX;SERVICE;AD1;AD1;AD2;AD2;TOOLBOX;TOOLBOX;SERVICE;CUEAC6-25S01;CUEAC6-25S01;CUEAC6-25S01;CUEAC6-25S01;CUEAC6-25S01;CUEAC6-25S01;CUEAC25S02;CUEAC25S02;CUEAC25S02;CUEAC25S03;CUEAC25S03;CUEAC25S03;CUEAC25S04;CUEAC25S04;CUEAC25S04;CUEAC25S05;CUEAC25S05;CUEAC25S05;CUEAC25S06;CUEAC25S06;CUEAC25S06;CUEAC25S07;CUEAC25S07;CUEAC25S07;CUEAC25S08;CUEAC25S08;CUEAC25S08;CUEAC25S09;CUEAC25S09;CUEAC25S09;CUEAC6-25S01;CUEAC6-25S01;CUEAC25S02;CUEAC25S03;CUEAC25S04;CUEAC25S05;CUEAC25S06;CUEAC25S07;CUEAC25S08;CUEAC25S09;CUEAC6-25S01;CUEAC6-25S01;CUEAC25S02;CUEAC25S03;CUEAC25S04;CUEAC25S05;CUEAC25S06;CUEAC25S07;CUEAC25S08;CUEAC25S09;UC100CX01;UC100CX01;UC100CX01;UC100CX01;UC300CX01;UC300CX01;UC300CX01;UC100CX01;UC300CX01;UC300CX01;UCS1000P01;UCS1000P01;UCS1000P01;UCS1000S01;UCS1000S01;UCS1000S01;UC1000CNX01;UC1000CNX01;UC1000CNX01;UC1000PS01;UC1000PS01;UC1000PS01;UCS1000P01;UCS1000P01;UCS1000S01;UCS1000S01;UC1000CNX01;UC1000CNX01;UC1000PS01;UC1000PS01;UCS7500P01;UCS7500S01;UCS7500S02;UCS7500S03;UCS7500S04;UCS7500S07;UCS7500S08;UC7500CNX01;UC7500PS01;UCS7500P01;UCS7500S01;UCS7500S02;UCS7500S03;UCS7500S04;UCS7500S07;UCS7500S08;UC7500CNX01;UC7500PS01;UCS7500P01;UCS7500S01;UCS7500S02;UCS7500S03;UCS7500S04;UCS7500S07;UCS7500S08;UC7500CNX01;UC7500PS01;UCS7500P01;UCS7500S01;UCS7500S02;UCS7500S03;UCS7500S04;UCS7500S07;UCS7500S08;UC7500CNX01;UC7500PS01;UCS20000P01;UCS20000S01;UCS20000S02;UCS20000S03;UCS20000S04;UCS20000S05;UCS20000S06;UCS20000S07;UCS20000S08;UCS20000S09;UCS20000S10;UC20000CNX01;UC20000PS01;UC20000PS02;UCS20000P01;UCS20000S01;UCS20000S02;UCS20000S03;UCS20000S04;UCS20000S05;UCS20000S06;UCS20000S07;UCS20000S08;UCS20000S09;UCS20000S10;UC20000CNX01;UC20000PS01;UC20000PS02;UCS20000P01;UCS20000S01;UCS20000S02;UCS20000S03;UCS20000S04;UCS20000S05;UCS20000S06;UCS20000S07;UCS20000S08;UCS20000S09;UCS20000S10;UC20000CNX01;UC20000PS01;UC20000PS02;UCS40000P01;UCS40000S01;UCS40000S02;UCS40000S03;UCS40000S04;UCS40000S05;UCS40000S06;UCS40000S07;UCS40000S08;UCS40000S09;UCS40000S10;UC40000CNX01;UC40000CNX02;UC40000PS01;UC40000PS02;UC40000PS03
;;14002;24002;44002;14003;24003;44003;14005;24005;44005;44006;34002;54002;34003;54003;34005;54005;54006;14015;24015;44015;14016;24016;44016;14007;24007;44007;14008;24008;44008;14009;24009;44009;14010;24010;44010;14011;24011;44011;14012;24012;44012;14013;24013;44013;14014;24014;44014;34015;34016;34007;34008;34009;34010;34011;34012;34013;34014;54015;54016;54007;54008;54009;54010;54011;54012;54013;54014;1212;2212;4212;5212;1213;2213;4213;3212;3213;5213;1500;2500;4500;1501;2501;4501;1502;2502;4502;1503;2503;4503;3500;5500;3501;5501;3502;5502;3503;5503;2200;2201;2202;2203;2204;2207;2208;2209;2210;3200;3201;3202;3203;3204;3207;3208;3209;3210;4200;4201;4202;4203;4204;4207;4208;4209;4210;5200;5201;5202;5203;5204;5207;5208;5209;5210;3600;3601;3602;3603;3604;3605;3606;3607;3608;3609;3610;3611;3612;3613;4600;4601;4602;4603;4604;4605;4606;4607;4608;4609;4610;4611;4612;4613;6600;6601;6602;6603;6604;6605;6606;6607;6608;6609;6610;6611;6612;6613;5600;5601;5602;5603;5604;5605;5606;5607;5608;5609;5610;5611;5614;5612;5613;5615
VappNonUC HCS8.6.1 V1;20000;X;;;X;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VappNonUC HCS8.6.2 V1;30000;;X;;;X;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VappNonUC HCS8.6.2 V3;40000;;;X;;;X;;;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VappNonUC HCS8.6.2 V2 (2 AD, 1 Toolbox) MiddleWare 2;60000;;;;;;;;;;;X;;X;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VappNonUC HCS8.6.2 V4 Middleware 2;70000;;;;;;;;;;;;X;;X;;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Vapp CUEAC25 HCS8.6.1 V1;21000;;;;;;;;;;;;;;;;;;X;;;X;;;X;;;X;;;X;;;X;;;X;;;X;;;X;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Vapp CUEAC25 HCS8.6.2 V1;31000;;;;;;;;;;;;;;;;;;;X;;;X;;;X;;;X;;;X;;;X;;;X;;;X;;;X;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Vapp CUEAC25 HCS8.6.2 V3;41000;;;;;;;;;;;;;;;;;;;;X;;;X;;;X;;;X;;;X;;;X;;;X;;;X;;;X;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Vapp CUEAC25 HCS8.6.2 V2 (1 to 9 CUEAC) MiddleWare 2;61000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;X;X;X;X;X;X;X;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Vapp CUEAC25 HCS8.6.2 V4 Middleware 2;71000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;X;X;X;X;X;X;X;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Vapp UCCX HCS8.6.1 V1;22000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Vapp UCCX HCS8.6.2 V1;32000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Vapp UCCX HCS8.6.2 V3;42000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Vapp UCCX HCS8.6.2 V2 (1 UCCX);62000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Vapp UCCX HCS8.6.2 V4 Middleware 2;72000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Vapp UC 1000 users HCS8.6.1 V1;23000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;X;;;X;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Vapp UC 1000 users HCS8.6.2 V1;33000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;X;;;X;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Vapp UC 1000 devices HCS8.6.2 V3;43000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;X;;;X;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Vapp UC 7500 devices HCS8.6.2 V3;44000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;X;X;X;X;X;X;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Vapp UC 20000 devices HCS8.6.2 V3;45000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;X;X;X;X;X;X;X;X;X;X;X;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Vapp UC 40000 devices HCS8.6.2 V3;46000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Vapp UC 2500 users HCS8.6.2 V1 (1 Publisher,  6 Subscribers,  1 Unity et 1 CUPS);34000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;X;X;X;X;X;X;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Vapp UC 1000 devices HCS8.6.2 V2 (1 Publisher, 1 Subscriber, 1 Unity et 1 CUPS);63000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;X;;X;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Vapp UC 1000 devices HCS8.6.2 V4 (1 Publisher, 1 Subscriber, 1 Unity et 1 CUPS);73000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;X;;X;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Vapp UC 7500 devices 8.6.2 V2  (1 Publisher,  6 Subscribers,  1 Unity et 1 CUPS);64000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;X;X;X;X;X;X;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Vapp UC 7500 devices 8.6.2 V4  (1 Publisher,  6 Subscribers,  1 Unity et 1 CUPS);74000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;X;X;X;X;X;X;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Vapp UC 20000 devices 8.6.2 V2  (1 Publisher,  8 Subscribers,  2 TFTP,  1 Unity et 1 CUPS);65000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;X;X;X;X;X;X;X;X;X;X;X;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Vapp UC 20000 devices 8.6.2 V4  (1 Publisher,  8 Subscribers,  2 TFTP,  1 Unity et 1 CUPS);75000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;X;X;X;X;X;X;X;X;X;X;X;X;X;;;;;;;;;;;;;;;;
