versionHCS;shortname;mincpu;maxcpu;minmhz;minmo;maxmo
861V1;AD1-HCS861V1;1;1;256;4096;4096
862V1;AD1-HCS862V1;1;1;256;4096;4096
862V3;AD1-HCS862V3;1;1;600;4096;4096
861V1;AD2-HCS861V1;1;1;256;4096;4096
862V1;AD2-HCS862V1;1;1;256;4096;4096
862V3;AD2-HCS862V3;1;1;600;4096;4096
861V1;TOOLBOX-HCS861V1;1;1;256;4096;4096
862V1;TOOLBOX-HCS862V1;1;1;256;4096;4096
862V3;TOOLBOX-HCS862V3;1;1;300;2048;2048
862V3;SERVICE-HCS862V3;1;1;600;4096;4096
862V2-MW2;AD1-HCS862V2-MW2;1;1;600;2048;2048
862V4-MW2;AD1-HCS862V4-MW2;1;1;600;4096;4096
862V2-MW2;AD2-HCS862V2-MW2;1;1;600;2048;2048
862V4-MW2;AD2-HCS862V4-MW2;1;1;600;4096;4096
862V2-MW2;TOOLBOX-HCS862V2-MW2;1;1;300;2048;2048
862V4-MW2;TOOLBOX-HCS862V4-MW2;1;1;300;2048;2048
862V4-MW2;SERVICE-HCS862V4-MW2;1;1;600;4096;4096
861V1;CUEAC6-25S01E-HCS861V1;1;1;256;4096;4096
862V1;CUEAC6-25S01E-HCS862V1;1;1;256;4096;4096
862V3;CUEAC6-25S01E-HCS862V3;1;1;2300;6128;6128
861V1;CUEAC6-25S01S-HCS861V1;1;1;256;4096;4096
862V1;CUEAC6-25S01S-HCS862V1;1;1;256;4096;4096
862V3;CUEAC6-25S01S-HCS862V3;1;1;2300;6128;6128
861V1;CUEAC25S02-HCS861V1;1;1;256;4096;4096
862V1;CUEAC25S02-HCS862V1;1;1;256;4096;4096
862V3;CUEAC25S02-HCS862V3;1;1;2300;6128;6128
861V1;CUEAC25S03-HCS861V1;1;1;256;4096;4096
862V1;CUEAC25S03-HCS862V1;1;1;256;4096;4096
862V3;CUEAC25S03-HCS862V3;1;1;2300;6128;6128
861V1;CUEAC25S04-HCS861V1;1;1;256;4096;4096
862V1;CUEAC25S04-HCS862V1;1;1;256;4096;4096
862V3;CUEAC25S04-HCS862V3;1;1;2300;6128;6128
861V1;CUEAC25S05-HCS861V1;1;1;256;4096;4096
862V1;CUEAC25S05-HCS862V1;1;1;256;4096;4096
862V3;CUEAC25S05-HCS862V3;1;1;2300;6128;6128
861V1;CUEAC25S06-HCS861V1;1;1;256;4096;4096
862V1;CUEAC25S06-HCS862V1;1;1;256;4096;4096
862V3;CUEAC25S06-HCS862V3;1;1;2300;6128;6128
861V1;CUEAC25S07-HCS861V1;1;1;256;4096;4096
862V1;CUEAC25S07-HCS862V1;1;1;256;4096;4096
862V3;CUEAC25S07-HCS862V3;1;1;2300;6128;6128
861V1;CUEAC25S08-HCS861V1;1;1;256;4096;4096
862V1;CUEAC25S08-HCS862V1;1;1;256;4096;4096
862V3;CUEAC25S08-HCS862V3;1;1;2300;6128;6128
861V1;CUEAC25S09-HCS861V1;1;1;256;4096;4096
862V1;CUEAC25S09-HCS862V1;1;1;256;4096;4096
862V3;CUEAC25S09-HCS862V3;1;1;2300;6128;6128
862V2-MW2;CUEAC6-25S01E-HCS862V2-MW2;1;1;2300;6144;6144
862V2-MW2;CUEAC6-25S01S-HCS862V2-MW2;1;1;2300;6144;6144
862V2-MW2;CUEAC25S02-HCS862V2-MW2;1;1;2300;6144;6144
862V2-MW2;CUEAC25S03-HCS862V2-MW2;1;1;2300;6144;6144
862V2-MW2;CUEAC25S04-HCS862V2-MW2;1;1;2300;6144;6144
862V2-MW2;CUEAC25S05-HCS862V2-MW2;1;1;2300;6144;6144
862V2-MW2;CUEAC25S06-HCS862V2-MW2;1;1;2300;6144;6144
862V2-MW2;CUEAC25S07-HCS862V2-MW2;1;1;2300;6144;6144
862V2-MW2;CUEAC25S08-HCS862V2-MW2;1;1;2300;6144;6144
862V2-MW2;CUEAC25S09-HCS862V2-MW2;1;1;2300;6144;6144
862V4-MW2;CUEAC6-25S01E-HCS862V4-MW2;1;1;2300;6144;6144
862V4-MW2;CUEAC6-25S01S-HCS862V4-MW2;1;1;2300;6144;6144
862V4-MW2;CUEAC25S02-HCS862V4-MW2;1;1;2300;6144;6144
862V4-MW2;CUEAC25S03-HCS862V4-MW2;1;1;2300;6144;6144
862V4-MW2;CUEAC25S04-HCS862V4-MW2;1;1;2300;6144;6144
862V4-MW2;CUEAC25S05-HCS862V4-MW2;1;1;2300;6144;6144
862V4-MW2;CUEAC25S06-HCS862V4-MW2;1;1;2300;6144;6144
862V4-MW2;CUEAC25S07-HCS862V4-MW2;1;1;2300;6144;6144
862V4-MW2;CUEAC25S08-HCS862V4-MW2;1;1;2300;6144;6144
862V4-MW2;CUEAC25S09-HCS862V4-MW2;1;1;2300;6144;6144
861V1;UC100CX01-HCS861V1;2;2;900;4096;4096
862V1;UC100CX01-HCS862V1;2;2;900;4096;4096
862V3;UC100CX01-HCS862V3;2;2;2500;4096;4096
862V4;UC100CX01-HCS862V4;2;2;2500;4096;4096
861V1;UC300CX01-HCS861V1;2;2;900;4096;4096
862V1;UC300CX01-HCS862V1;2;2;900;4096;4096
862V3;UC300CX01-HCS862V3;2;2;2500;4096;4096
862V2;UC100CX01-HCS862V2;2;2;2500;4096;4096
862V2;UC300CX01-HCS862V2;2;2;2500;4096;4096
862V4;UC300CX01-HCS862V4;2;2;2500;4096;4096
861V1;UCS1000P01-HCS861V1;1;1;800;4096;4096
862V1;UCS1000P01-HCS862V1;1;1;800;4096;4096
862V3;UCS1000P01-HCS862V3;1;1;800;4096;4096
861V1;UCS1000S01-HCS861V1;1;1;800;4096;4096
862V1;UCS1000S01-HCS862V1;1;1;800;4096;4096
862V3;UCS1000S01-HCS862V3;1;1;800;4096;4096
861V1;UC1000CNX01-HCS861V1;1;1;2500;4096;4096
862V1;UC1000CNX01-HCS862V1;1;1;2500;4096;4096
862V3;UC1000CNX01-HCS862V3;1;1;2300;4096;4096
861V1;UC1000PS01-HCS861V1;2;2;800;2048;2048
862V1;UC1000PS01-HCS862V1;2;2;800;2048;2048
862V3;UC1000PS01-HCS862V3;1;2;1500;4096;4096
862V2;UCS1000P01-HCS862V2;1;1;800;4096;4096
862V4;UCS1000P01-HCS862V4;1;1;800;4096;4096
862V2;UCS1000S01-HCS862V2;1;1;800;4096;4096
862V4;UCS1000S01-HCS862V4;1;1;800;4096;4096
862V2;UC1000CNX01-HCS862V2;1;1;2300;4096;4096
862V4;UC1000CNX01-HCS862V4;1;1;2300;4096;4096
862V2;UC1000PS01-HCS862V2;1;1;1500;4096;4096
862V4;UC1000PS01-HCS862V4;1;2;1500;4096;4096
862V1;UCS7500P01-HCS862V1;2;2;3600;6144;6144
862V1;UCS7500S01-HCS862V1;2;2;3600;6144;6144
862V1;UCS7500S02-HCS862V1;2;2;3600;6144;6144
862V1;UCS7500S03-HCS862V1;2;2;3600;6144;6144
862V1;UCS7500S04-HCS862V1;2;2;3600;6144;6144
862V1;UCS7500S07-HCS862V1;2;2;3600;6144;6144
862V1;UCS7500S08-HCS862V1;2;2;3600;6144;6144
862V1;UC7500CNX01-HCS862V1;4;4;9600;6144;6144
862V1;UC7500PS01-HCS862V1;4;4;8000;6144;6144
862V2;UCS7500P01-HCS862V2;2;2;3600;6144;6144
862V2;UCS7500S01-HCS862V2;2;2;3600;6144;6144
862V2;UCS7500S02-HCS862V2;2;2;3600;6144;6144
862V2;UCS7500S03-HCS862V2;2;2;3600;6144;6144
862V2;UCS7500S04-HCS862V2;2;2;3600;6144;6144
862V2;UCS7500S07-HCS862V2;2;2;3600;6144;6144
862V2;UCS7500S08-HCS862V2;2;2;3600;6144;6144
862V2;UC7500CNX01-HCS862V2;4;4;9000;6144;6144
862V2;UC7500PS01-HCS862V2;4;4;8000;6144;6144
862V3;UCS7500P01-HCS862V3;2;2;3600;6144;6144
862V3;UCS7500S01-HCS862V3;2;2;3600;6144;6144
862V3;UCS7500S02-HCS862V3;2;2;3600;6144;6144
862V3;UCS7500S03-HCS862V3;2;2;3600;6144;6144
862V3;UCS7500S04-HCS862V3;2;2;3600;6144;6144
862V3;UCS7500S07-HCS862V3;2;2;3600;6144;6144
862V3;UCS7500S08-HCS862V3;2;2;3600;6144;6144
862V3;UC7500CNX01-HCS862V3;4;4;9000;6144;6144
862V3;UC7500PS01-HCS862V3;4;4;8000;6144;6144
862V4;UCS7500P01-HCS862V4;2;2;3600;6144;6144
862V4;UCS7500S01-HCS862V4;2;2;3600;6144;6144
862V4;UCS7500S02-HCS862V4;2;2;3600;6144;6144
862V4;UCS7500S03-HCS862V4;2;2;3600;6144;6144
862V4;UCS7500S04-HCS862V4;2;2;3600;6144;6144
862V4;UCS7500S07-HCS862V4;2;2;3600;6144;6144
862V4;UCS7500S08-HCS862V4;2;2;3600;6144;6144
862V4;UC7500CNX01-HCS862V4;4;4;9000;6144;6144
862V4;UC7500PS01-HCS862V4;4;4;8000;6144;6144
862V2;UCS20000P01-HCS862V2;4;4;7200;6144;6144
862V2;UCS20000S01-HCS862V2;4;4;7200;6144;6144
862V2;UCS20000S02-HCS862V2;4;4;7200;6144;6144
862V2;UCS20000S03-HCS862V2;4;4;7200;6144;6144
862V2;UCS20000S04-HCS862V2;4;4;7200;6144;6144
862V2;UCS20000S05-HCS862V2;4;4;7200;6144;6144
862V2;UCS20000S06-HCS862V2;4;4;7200;6144;6144
862V2;UCS20000S07-HCS862V2;4;4;7200;6144;6144
862V2;UCS20000S08-HCS862V2;4;4;7200;6144;6144
862V2;UCS20000S09-HCS862V2;4;4;7200;6144;6144
862V2;UCS20000S10-HCS862V2;4;4;7200;6144;6144
862V2;UC20000CNX01-HCS862V2;7;7;14000;8192;8192
862V2;UC20000PS01-HCS862V2;4;4;8000;6144;6144
862V2;UC20000PS02-HCS862V2;4;4;8000;6144;6144
862V3;UCS20000P01-HCS862V3;4;4;7200;6144;6144
862V3;UCS20000S01-HCS862V3;4;4;7200;6144;6144
862V3;UCS20000S02-HCS862V3;4;4;7200;6144;6144
862V3;UCS20000S03-HCS862V3;4;4;7200;6144;6144
862V3;UCS20000S04-HCS862V3;4;4;7200;6144;6144
862V3;UCS20000S05-HCS862V3;4;4;7200;6144;6144
862V3;UCS20000S06-HCS862V3;4;4;7200;6144;6144
862V3;UCS20000S07-HCS862V3;4;4;7200;6144;6144
862V3;UCS20000S08-HCS862V3;4;4;7200;6144;6144
862V3;UCS20000S09-HCS862V3;4;4;7200;6144;6144
862V3;UCS20000S10-HCS862V3;4;4;7200;6144;6144
862V3;UC20000CNX01-HCS862V3;7;7;14000;8192;8192
862V3;UC20000PS01-HCS862V3;4;4;8000;6144;6144
862V3;UC20000PS02-HCS862V3;4;4;8000;6144;6144
862V4;UCS20000P01-HCS862V4;4;4;7200;6144;6144
862V4;UCS20000S01-HCS862V4;4;4;7200;6144;6144
862V4;UCS20000S02-HCS862V4;4;4;7200;6144;6144
862V4;UCS20000S03-HCS862V4;4;4;7200;6144;6144
862V4;UCS20000S04-HCS862V4;4;4;7200;6144;6144
862V4;UCS20000S05-HCS862V4;4;4;7200;6144;6144
862V4;UCS20000S06-HCS862V4;4;4;7200;6144;6144
862V4;UCS20000S07-HCS862V4;4;4;7200;6144;6144
862V4;UCS20000S08-HCS862V4;4;4;7200;6144;6144
862V4;UCS20000S09-HCS862V4;4;4;7200;6144;6144
862V4;UCS20000S10-HCS862V4;4;4;7200;6144;6144
862V4;UC20000CNX01-HCS862V4;7;7;14000;8192;8192
862V4;UC20000PS01-HCS862V4;4;4;8000;6144;6144
862V4;UC20000PS02-HCS862V4;4;4;8000;6144;6144
862V3;UCS40000P01-HCS862V3;4;4;7200;6144;6144
862V3;UCS40000S01-HCS862V3;4;4;7200;6144;6144
862V3;UCS40000S02-HCS862V3;4;4;7200;6144;6144
862V3;UCS40000S03-HCS862V3;4;4;7200;6144;6144
862V3;UCS40000S04-HCS862V3;4;4;7200;6144;6144
862V3;UCS40000S05-HCS862V3;4;4;7200;6144;6144
862V3;UCS40000S06-HCS862V3;4;4;7200;6144;6144
862V3;UCS40000S07-HCS862V3;4;4;7200;6144;6144
862V3;UCS40000S08-HCS862V3;4;4;7200;6144;6144
862V3;UCS40000S09-HCS862V3;4;4;7200;6144;6144
862V3;UCS40000S10-HCS862V3;4;4;7200;6144;6144
862V3;UC40000CNX01-HCS862V3;7;7;14000;8192;8192
862V3;UC40000CNX02-HCS862V3;7;7;14000;8192;8192
862V3;UC40000PS01-HCS862V3;4;4;8000;6144;6144
862V3;UC40000PS02-HCS862V3;4;4;8000;6144;6144
862V3;UC40000PS03-HCS862V3;4;4;8000;6144;6144
